"Source:","C:\Users\kbhan\OneDrive - student.kit.edu\Projekte\GreenTree\KiCad_GreenTree\Base\Base.sch"
"Date:","15.11.2021 11:27:23"
"Tool:","Eeschema (5.1.8)-1"
"Component Count:","36"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BT3","9V","Bib:9V ohne Loecher","~","",""
"C1","10n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C2","10n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C3","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C4","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C5","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C6","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C7","Baum_Connector","Bib:Verbindung_Basis","","",""
"C8","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C9","330n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C10","10n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"D1","STPS 1L30A STM","Diode_SMD:D_SMA_Handsoldering","https://cdn-reichelt.de/documents/datenblatt/A400/STPS1L30X_ENG_TDS.pdf","",""
"D2","STPS 1L30A STM","Diode_SMD:D_SMA_Handsoldering","https://cdn-reichelt.de/documents/datenblatt/A400/STPS1L30X_ENG_TDS.pdf","",""
"D3","STPS 1L30A STM","Diode_SMD:D_SMA_Handsoldering","https://cdn-reichelt.de/documents/datenblatt/A400/STPS1L30X_ENG_TDS.pdf","",""
"D4","STPS 1L30A STM","Diode_SMD:D_SMA_Handsoldering","https://cdn-reichelt.de/documents/datenblatt/A400/STPS1L30X_ENG_TDS.pdf","",""
"H1","M3","MountingHole:MountingHole_3.2mm_M3","~","",""
"H2","M3","MountingHole:MountingHole_3.2mm_M3","~","",""
"H3","M3","MountingHole:MountingHole_3.2mm_M3","~","",""
"H4","M3","MountingHole:MountingHole_3.2mm_M3","~","",""
"Q1","BCX56","Package_TO_SOT_SMD:SOT-89-3","http://cache.nxp.com/documents/data_sheet/BCP56_BCX56_BC56PA.pdf?pspll=1","",""
"Q2","BCX56","Package_TO_SOT_SMD:SOT-89-3","http://cache.nxp.com/documents/data_sheet/BCP56_BCX56_BC56PA.pdf?pspll=1","",""
"Q3","BCX56","Package_TO_SOT_SMD:SOT-89-3","http://cache.nxp.com/documents/data_sheet/BCP56_BCX56_BC56PA.pdf?pspll=1","",""
"Q4","BCX56","Package_TO_SOT_SMD:SOT-89-3","http://cache.nxp.com/documents/data_sheet/BCP56_BCX56_BC56PA.pdf?pspll=1","",""
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"R2","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"R3","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"R4","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"R5","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R6","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R7","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"R8","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"SW1","SW_DPDT_x2","Bib:Schiebeschalter","","",""
"U1","NE555D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","",""
"U2","NE555D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","",""
"U3","74HC04","Package_SO:SOIC-14W_7.5x9mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf","",""
"U4","L78L05_TO92","Package_TO_SOT_THT:TO-92_Inline","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","",""
