"GF 2";"4";""
"SMD 1/4W 1,0K";"2";""
"NE 555 D SMD";"2";""
"X7R-G0805 10N";"4";""
"?A 78L05";"1";""
"X7R-G0805 100N";"9";""
"SMD-0805 100";"10";""
"SMD-0805 1,00K";"2";""
"SMD-0805 10,0K";"2";""
"SMD-0805 100K";"2";""
"SMD-0805 150K";"2";""
"SMD-0805 390K";"2";""
"74VHC 14 D";"1";""
"HALTER 9V";"1";""
"X5R-G0805 10/16";"2";""
"SS 13ASP";"1";""
"SKL M3X25-50";"1";""
"LS R976";"16";""
"RND 0805 1 100";"8";""
"RND 0805 1 160";"8";""
"RND 0805 1 200K";"2";""
"KEM X7R0805 330N";"1";""
"KEM X5R0805 4,7U";"2";""
"RND 0805 1 20";"4";""
"BCX 56-16 NXP";"4";""
"STPS 1L30A STM";"4";""
"VT DK 20MM";"4";""
"EVL 19-218/BHC";"16";""
"OSO LGR971";"16";""
"OSO LYR976";"16";""
"VIS CRCW12061002";"2";""
"RND 1550805 AP";"4";""
"RND 155HP05 BX";"2";""
